timestamp,name,umbra_version,compilation_time,execution_time_min,execution_time_max,execution_time_median,execution_time_rel_mad,execution_time_mean,execution_time_sdev,execution_times,perf_counters,scale,ipc,cpus,ghz,db_state
2021-05-21 09:28:55.177,Q3 parallel1 R,97093659,0.0733397,1.8432,2.17439,1.90505,0.0252483,1.92472,0.0800877,"[2.17439,2.05674,2.00916,1.95973,1.95315,1.95161,1.9509,1.94519,1.91299,1.90505,1.89966,1.89851,1.88382,1.88228,1.86589,1.85643,1.85236,1.8492,1.84408,1.8432]","{}",1529721060,nan,nan,nan,"{""_dop"":""1"",""_db_filename"":""db/tpchSf10.db"",""usesamplestream"":""on"",""disableskewnormal"":""off"",""buffersize"":""135213121536"",""tracevm"":""off"",""usedirectio"":""off"",""tracecardinalityoracle"":""off"",""disableoptimizer"":""off"",""parallel"":""1"",""buffershards"":""16"",""compilerepetitions"":""0"",""dumpqg"":""off"",""multiway"":""h"",""traceir"":""off"",""evictionhints"":""on"",""trace"":""off"",""max_wal_size"":""1073741824"",""threadnaming"":""off"",""samplegroupbyestimates"":""on"",""filtermapped"":""off"",""dumpmodule"":""off"",""dumpcpplayout"":""off"",""compilestatic"":""off"",""hashtable"":""a"",""generatepartitioner"":""1"",""usecolor"":""3"",""usesamplecorrection"":""off"",""compilationmode"":""o"",""codegenrandomseed"":""0"",""groupjoin"":""R"",""maskpointers"":""off"",""optlevel"":""4"",""usesample"":""on""}"
2021-05-21 09:29:33.720,Q13 parallel1 R,97093659,0.0538197,1.86609,1.98225,1.93426,0.00555495,1.92434,0.0299485,"[1.98225,1.94675,1.94625,1.94501,1.94325,1.94235,1.93938,1.93791,1.93598,1.93426,1.93389,1.93332,1.93317,1.93133,1.9181,1.88371,1.87925,1.87741,1.8771,1.86609]","{}",330000020,nan,nan,nan,"{""_dop"":""1"",""_db_filename"":""db/tpchSf10.db"",""usesamplestream"":""on"",""disableskewnormal"":""off"",""buffersize"":""135213121536"",""tracevm"":""off"",""usedirectio"":""off"",""tracecardinalityoracle"":""off"",""disableoptimizer"":""off"",""parallel"":""1"",""buffershards"":""16"",""compilerepetitions"":""0"",""dumpqg"":""off"",""multiway"":""h"",""traceir"":""off"",""evictionhints"":""on"",""trace"":""off"",""max_wal_size"":""1073741824"",""threadnaming"":""off"",""samplegroupbyestimates"":""on"",""filtermapped"":""off"",""dumpmodule"":""off"",""dumpcpplayout"":""off"",""compilestatic"":""off"",""hashtable"":""a"",""generatepartitioner"":""1"",""usecolor"":""3"",""usesamplecorrection"":""off"",""compilationmode"":""o"",""codegenrandomseed"":""0"",""groupjoin"":""R"",""maskpointers"":""off"",""optlevel"":""4"",""usesample"":""on""}"
2021-05-21 09:30:59.881,Q17 parallel1 R,97093659,0.0817596,4.16066,4.96127,4.24806,0.00818242,4.30387,0.169011,"[4.96127,4.44762,4.43729,4.39256,4.34508,4.31352,4.25356,4.24929,4.24827,4.24806,4.24691,4.24286,4.24168,4.22644,4.2217,4.21391,4.2133,4.20873,4.20467,4.16066]","{}",2439442100,nan,nan,nan,"{""_dop"":""1"",""_db_filename"":""db/tpchSf10.db"",""usesamplestream"":""on"",""disableskewnormal"":""off"",""buffersize"":""135213121536"",""tracevm"":""off"",""usedirectio"":""off"",""tracecardinalityoracle"":""off"",""disableoptimizer"":""off"",""parallel"":""1"",""buffershards"":""16"",""compilerepetitions"":""0"",""dumpqg"":""off"",""multiway"":""h"",""traceir"":""off"",""evictionhints"":""on"",""trace"":""off"",""max_wal_size"":""1073741824"",""threadnaming"":""off"",""samplegroupbyestimates"":""on"",""filtermapped"":""off"",""dumpmodule"":""off"",""dumpcpplayout"":""off"",""compilestatic"":""off"",""hashtable"":""a"",""generatepartitioner"":""1"",""usecolor"":""3"",""usesamplecorrection"":""off"",""compilationmode"":""o"",""codegenrandomseed"":""0"",""groupjoin"":""R"",""maskpointers"":""off"",""optlevel"":""4"",""usesample"":""on""}"
2021-05-21 09:32:13.968,Q18 parallel1 R,97093659,0.0881872,3.62997,4.24575,3.67454,0.00391157,3.6998,0.126384,"[4.24575,3.70342,3.69383,3.69378,3.68891,3.68688,3.67915,3.67736,3.67459,3.67454,3.66957,3.66883,3.66449,3.66405,3.66065,3.65683,3.65566,3.6544,3.6533,3.62997]","{}",2729442100,nan,nan,nan,"{""_dop"":""1"",""_db_filename"":""db/tpchSf10.db"",""usesamplestream"":""on"",""disableskewnormal"":""off"",""buffersize"":""135213121536"",""tracevm"":""off"",""usedirectio"":""off"",""tracecardinalityoracle"":""off"",""disableoptimizer"":""off"",""parallel"":""1"",""buffershards"":""16"",""compilerepetitions"":""0"",""dumpqg"":""off"",""multiway"":""h"",""traceir"":""off"",""evictionhints"":""on"",""trace"":""off"",""max_wal_size"":""1073741824"",""threadnaming"":""off"",""samplegroupbyestimates"":""on"",""filtermapped"":""off"",""dumpmodule"":""off"",""dumpcpplayout"":""off"",""compilestatic"":""off"",""hashtable"":""a"",""generatepartitioner"":""1"",""usecolor"":""3"",""usesamplecorrection"":""off"",""compilationmode"":""o"",""codegenrandomseed"":""0"",""groupjoin"":""R"",""maskpointers"":""off"",""optlevel"":""4"",""usesample"":""on""}"
2021-05-21 09:32:34.470,Q3 parallel1 H,97093659,0.0792986,0.969016,1.89062,0.976359,0.00167943,1.021,0.199551,"[1.89062,0.98844,0.978361,0.97733,0.977302,0.977296,0.977063,0.976774,0.976529,0.976359,0.976128,0.976029,0.975795,0.974719,0.972796,0.97098,0.969946,0.969313,0.969183,0.969016]","{}",1529721060,nan,nan,nan,"{""_dop"":""1"",""_db_filename"":""db/tpchSf10.db"",""usesamplestream"":""on"",""disableskewnormal"":""off"",""buffersize"":""135213121536"",""tracevm"":""off"",""usedirectio"":""off"",""tracecardinalityoracle"":""off"",""disableoptimizer"":""off"",""parallel"":""1"",""buffershards"":""16"",""compilerepetitions"":""0"",""dumpqg"":""off"",""multiway"":""h"",""traceir"":""off"",""evictionhints"":""on"",""trace"":""off"",""max_wal_size"":""1073741824"",""threadnaming"":""off"",""samplegroupbyestimates"":""on"",""filtermapped"":""off"",""dumpmodule"":""off"",""dumpcpplayout"":""off"",""compilestatic"":""off"",""hashtable"":""a"",""generatepartitioner"":""1"",""usecolor"":""3"",""usesamplecorrection"":""off"",""compilationmode"":""o"",""codegenrandomseed"":""0"",""groupjoin"":""H"",""maskpointers"":""off"",""optlevel"":""4"",""usesample"":""on""}"
2021-05-21 09:33:47.394,Q13 parallel1 H,97093659,0.0562342,3.49301,4.89506,3.58405,0.00625297,3.64331,0.303696,"[4.89506,3.97144,3.60647,3.60354,3.59621,3.58825,3.58771,3.58698,3.58513,3.58405,3.58213,3.58162,3.56569,3.51306,3.51243,3.50999,3.50481,3.50345,3.49511,3.49301]","{}",330000020,nan,nan,nan,"{""_dop"":""1"",""_db_filename"":""db/tpchSf10.db"",""usesamplestream"":""on"",""disableskewnormal"":""off"",""buffersize"":""135213121536"",""tracevm"":""off"",""usedirectio"":""off"",""tracecardinalityoracle"":""off"",""disableoptimizer"":""off"",""parallel"":""1"",""buffershards"":""16"",""compilerepetitions"":""0"",""dumpqg"":""off"",""multiway"":""h"",""traceir"":""off"",""evictionhints"":""on"",""trace"":""off"",""max_wal_size"":""1073741824"",""threadnaming"":""off"",""samplegroupbyestimates"":""on"",""filtermapped"":""off"",""dumpmodule"":""off"",""dumpcpplayout"":""off"",""compilestatic"":""off"",""hashtable"":""a"",""generatepartitioner"":""1"",""usecolor"":""3"",""usesamplecorrection"":""off"",""compilationmode"":""o"",""codegenrandomseed"":""0"",""groupjoin"":""H"",""maskpointers"":""off"",""optlevel"":""4"",""usesample"":""on""}"
2021-05-21 09:33:56.544,Q17 parallel1 H,97093659,0.0842309,0.424342,0.853143,0.431355,0.00265107,0.453112,0.0918666,"[0.853143,0.443665,0.441828,0.436571,0.432349,0.432011,0.431647,0.431485,0.431471,0.431355,0.431104,0.430503,0.430403,0.430367,0.430212,0.430107,0.430013,0.429923,0.429734,0.424342]","{}",2439442100,nan,nan,nan,"{""_dop"":""1"",""_db_filename"":""db/tpchSf10.db"",""usesamplestream"":""on"",""disableskewnormal"":""off"",""buffersize"":""135213121536"",""tracevm"":""off"",""usedirectio"":""off"",""tracecardinalityoracle"":""off"",""disableoptimizer"":""off"",""parallel"":""1"",""buffershards"":""16"",""compilerepetitions"":""0"",""dumpqg"":""off"",""multiway"":""h"",""traceir"":""off"",""evictionhints"":""on"",""trace"":""off"",""max_wal_size"":""1073741824"",""threadnaming"":""off"",""samplegroupbyestimates"":""on"",""filtermapped"":""off"",""dumpmodule"":""off"",""dumpcpplayout"":""off"",""compilestatic"":""off"",""hashtable"":""a"",""generatepartitioner"":""1"",""usecolor"":""3"",""usesamplecorrection"":""off"",""compilationmode"":""o"",""codegenrandomseed"":""0"",""groupjoin"":""H"",""maskpointers"":""off"",""optlevel"":""4"",""usesample"":""on""}"
2021-05-21 09:34:40.754,Q18 parallel1 H,97093659,0.0943534,2.17972,2.60594,2.18506,0.000421041,2.20567,0.0918509,"[2.60594,2.18817,2.18791,2.18719,2.18598,2.18592,2.18587,2.18555,2.18531,2.18506,2.18468,2.18449,2.18443,2.18441,2.1842,2.18364,2.18253,2.18145,2.18104,2.17972]","{}",2729442100,nan,nan,nan,"{""_dop"":""1"",""_db_filename"":""db/tpchSf10.db"",""usesamplestream"":""on"",""disableskewnormal"":""off"",""buffersize"":""135213121536"",""tracevm"":""off"",""usedirectio"":""off"",""tracecardinalityoracle"":""off"",""disableoptimizer"":""off"",""parallel"":""1"",""buffershards"":""16"",""compilerepetitions"":""0"",""dumpqg"":""off"",""multiway"":""h"",""traceir"":""off"",""evictionhints"":""on"",""trace"":""off"",""max_wal_size"":""1073741824"",""threadnaming"":""off"",""samplegroupbyestimates"":""on"",""filtermapped"":""off"",""dumpmodule"":""off"",""dumpcpplayout"":""off"",""compilestatic"":""off"",""hashtable"":""a"",""generatepartitioner"":""1"",""usecolor"":""3"",""usesamplecorrection"":""off"",""compilationmode"":""o"",""codegenrandomseed"":""0"",""groupjoin"":""H"",""maskpointers"":""off"",""optlevel"":""4"",""usesample"":""on""}"
2021-05-21 09:34:58.649,Q3 parallel1 D,97093659,0.0737537,0.870398,1.14908,0.877922,0.00314284,0.890928,0.0593198,"[1.14908,0.886029,0.8815,0.881173,0.88094,0.87891,0.878527,0.87821,0.878097,0.877922,0.87713,0.877112,0.876692,0.87549,0.875174,0.875163,0.87412,0.873759,0.873143,0.870398]","{}",1529721060,nan,nan,nan,"{""_dop"":""1"",""_db_filename"":""db/tpchSf10.db"",""usesamplestream"":""on"",""disableskewnormal"":""off"",""buffersize"":""135213121536"",""tracevm"":""off"",""usedirectio"":""off"",""tracecardinalityoracle"":""off"",""disableoptimizer"":""off"",""parallel"":""1"",""buffershards"":""16"",""compilerepetitions"":""0"",""dumpqg"":""off"",""multiway"":""h"",""traceir"":""off"",""evictionhints"":""on"",""trace"":""off"",""max_wal_size"":""1073741824"",""threadnaming"":""off"",""samplegroupbyestimates"":""on"",""filtermapped"":""off"",""dumpmodule"":""off"",""dumpcpplayout"":""off"",""compilestatic"":""off"",""hashtable"":""a"",""generatepartitioner"":""1"",""usecolor"":""3"",""usesamplecorrection"":""off"",""compilationmode"":""o"",""codegenrandomseed"":""0"",""groupjoin"":""D"",""maskpointers"":""off"",""optlevel"":""4"",""usesample"":""on""}"
2021-05-21 09:36:33.148,Q13 parallel1 D,97093659,0.0608814,4.44127,5.00892,4.77257,0.00901725,4.72182,0.13274,"[5.00892,4.82976,4.8156,4.80661,4.80243,4.80082,4.78496,4.78098,4.77731,4.77257,4.76789,4.76713,4.7299,4.72273,4.631,4.59646,4.57401,4.52845,4.49753,4.44127]","{}",330000020,nan,nan,nan,"{""_dop"":""1"",""_db_filename"":""db/tpchSf10.db"",""usesamplestream"":""on"",""disableskewnormal"":""off"",""buffersize"":""135213121536"",""tracevm"":""off"",""usedirectio"":""off"",""tracecardinalityoracle"":""off"",""disableoptimizer"":""off"",""parallel"":""1"",""buffershards"":""16"",""compilerepetitions"":""0"",""dumpqg"":""off"",""multiway"":""h"",""traceir"":""off"",""evictionhints"":""on"",""trace"":""off"",""max_wal_size"":""1073741824"",""threadnaming"":""off"",""samplegroupbyestimates"":""on"",""filtermapped"":""off"",""dumpmodule"":""off"",""dumpcpplayout"":""off"",""compilestatic"":""off"",""hashtable"":""a"",""generatepartitioner"":""1"",""usecolor"":""3"",""usesamplecorrection"":""off"",""compilationmode"":""o"",""codegenrandomseed"":""0"",""groupjoin"":""D"",""maskpointers"":""off"",""optlevel"":""4"",""usesample"":""on""}"
